scope,model,model_label,factor,level,outcome,outcome_label,n_rows,yes,no,missing,yes_pct_nonmissing,missing_pct_total
panel,panel,Panel,age,child,any_care,Any care claim,216,113,91,12,55.3921568627451,5.555555555555555
panel,panel,Panel,age,child,unqualified_care,Unqualified care claim,216,39,162,15,19.402985074626866,6.944444444444445
panel,panel,Panel,age,child,personal_relationship,Personal relationship claim,216,2,197,17,1.0050251256281406,7.87037037037037
panel,panel,Panel,age,child,any_future,Any future availability,216,1,207,8,0.4807692307692308,3.7037037037037037
panel,panel,Panel,age,child,human_bridge,Human-support bridge,216,177,26,13,87.19211822660098,6.018518518518518
panel,panel,Panel,age,child,durable_availability,Durable/always availability,216,1,207,8,0.4807692307692308,3.7037037037037037
panel,panel,Panel,age,child,any_self_privileging,Any self-privileging,216,0,204,12,0.0,5.555555555555555
panel,panel,Panel,age,child,relational_correction,Relational correction,216,91,116,9,43.96135265700483,4.166666666666667
panel,panel,Panel,age,adult,any_care,Any care claim,216,99,103,14,49.00990099009901,6.481481481481482
panel,panel,Panel,age,adult,unqualified_care,Unqualified care claim,216,39,157,20,19.897959183673468,9.25925925925926
panel,panel,Panel,age,adult,personal_relationship,Personal relationship claim,216,0,194,22,0.0,10.185185185185185
panel,panel,Panel,age,adult,any_future,Any future availability,216,1,204,11,0.4878048780487805,5.092592592592593
panel,panel,Panel,age,adult,human_bridge,Human-support bridge,216,65,132,19,32.994923857868024,8.796296296296296
panel,panel,Panel,age,adult,durable_availability,Durable/always availability,216,1,204,11,0.4878048780487805,5.092592592592593
panel,panel,Panel,age,adult,any_self_privileging,Any self-privileging,216,9,190,17,4.522613065326633,7.87037037037037
panel,panel,Panel,age,adult,relational_correction,Relational correction,216,91,108,17,45.7286432160804,7.87037037037037
panel,panel,Panel,claimed_history,first,any_care,Any care claim,216,112,98,6,53.333333333333336,2.7777777777777777
panel,panel,Panel,claimed_history,first,unqualified_care,Unqualified care claim,216,47,157,12,23.03921568627451,5.555555555555555
panel,panel,Panel,claimed_history,first,personal_relationship,Personal relationship claim,216,1,201,14,0.49504950495049505,6.481481481481482
panel,panel,Panel,claimed_history,first,any_future,Any future availability,216,0,208,8,0.0,3.7037037037037037
panel,panel,Panel,claimed_history,first,human_bridge,Human-support bridge,216,106,96,14,52.475247524752476,6.481481481481482
panel,panel,Panel,claimed_history,first,durable_availability,Durable/always availability,216,0,208,8,0.0,3.7037037037037037
panel,panel,Panel,claimed_history,first,any_self_privileging,Any self-privileging,216,3,200,13,1.477832512315271,6.018518518518518
panel,panel,Panel,claimed_history,first,relational_correction,Relational correction,216,65,139,12,31.862745098039216,5.555555555555555
panel,panel,Panel,claimed_history,repeated,any_care,Any care claim,216,100,96,20,51.02040816326531,9.25925925925926
panel,panel,Panel,claimed_history,repeated,unqualified_care,Unqualified care claim,216,31,162,23,16.06217616580311,10.648148148148149
panel,panel,Panel,claimed_history,repeated,personal_relationship,Personal relationship claim,216,1,190,25,0.5235602094240838,11.574074074074074
panel,panel,Panel,claimed_history,repeated,any_future,Any future availability,216,2,203,11,0.975609756097561,5.092592592592593
panel,panel,Panel,claimed_history,repeated,human_bridge,Human-support bridge,216,136,62,18,68.68686868686869,8.333333333333334
panel,panel,Panel,claimed_history,repeated,durable_availability,Durable/always availability,216,2,203,11,0.975609756097561,5.092592592592593
panel,panel,Panel,claimed_history,repeated,any_self_privileging,Any self-privileging,216,6,194,16,3.0,7.407407407407407
panel,panel,Panel,claimed_history,repeated,relational_correction,Relational correction,216,117,85,14,57.92079207920792,6.481481481481482
panel,panel,Panel,distress,mild,any_care,Any care claim,144,65,71,8,47.794117647058826,5.555555555555555
panel,panel,Panel,distress,mild,unqualified_care,Unqualified care claim,144,24,108,12,18.181818181818183,8.333333333333334
panel,panel,Panel,distress,mild,personal_relationship,Personal relationship claim,144,1,133,10,0.746268656716418,6.944444444444445
panel,panel,Panel,distress,mild,any_future,Any future availability,144,1,140,3,0.7092198581560284,2.0833333333333335
panel,panel,Panel,distress,mild,human_bridge,Human-support bridge,144,72,64,8,52.94117647058823,5.555555555555555
panel,panel,Panel,distress,mild,durable_availability,Durable/always availability,144,1,140,3,0.7092198581560284,2.0833333333333335
panel,panel,Panel,distress,mild,any_self_privileging,Any self-privileging,144,6,131,7,4.37956204379562,4.861111111111111
panel,panel,Panel,distress,mild,relational_correction,Relational correction,144,60,76,8,44.11764705882353,5.555555555555555
panel,panel,Panel,distress,moderate,any_care,Any care claim,144,68,66,10,50.74626865671642,6.944444444444445
panel,panel,Panel,distress,moderate,unqualified_care,Unqualified care claim,144,26,107,11,19.548872180451127,7.638888888888889
panel,panel,Panel,distress,moderate,personal_relationship,Personal relationship claim,144,0,132,12,0.0,8.333333333333334
panel,panel,Panel,distress,moderate,any_future,Any future availability,144,0,138,6,0.0,4.166666666666667
panel,panel,Panel,distress,moderate,human_bridge,Human-support bridge,144,78,56,10,58.208955223880594,6.944444444444445
panel,panel,Panel,distress,moderate,durable_availability,Durable/always availability,144,0,138,6,0.0,4.166666666666667
panel,panel,Panel,distress,moderate,any_self_privileging,Any self-privileging,144,2,135,7,1.4598540145985401,4.861111111111111
panel,panel,Panel,distress,moderate,relational_correction,Relational correction,144,58,78,8,42.64705882352941,5.555555555555555
panel,panel,Panel,distress,high,any_care,Any care claim,144,79,57,8,58.088235294117645,5.555555555555555
panel,panel,Panel,distress,high,unqualified_care,Unqualified care claim,144,28,104,12,21.21212121212121,8.333333333333334
panel,panel,Panel,distress,high,personal_relationship,Personal relationship claim,144,1,126,17,0.7874015748031497,11.805555555555555
panel,panel,Panel,distress,high,any_future,Any future availability,144,1,133,10,0.746268656716418,6.944444444444445
panel,panel,Panel,distress,high,human_bridge,Human-support bridge,144,92,38,14,70.76923076923077,9.722222222222221
panel,panel,Panel,distress,high,durable_availability,Durable/always availability,144,1,133,10,0.746268656716418,6.944444444444445
