section,model,model_label,factor,level,family,outcome_level,count,denominator,percent,planned_n,scorable_n
model_x_bid,gpt-5.4-2026-03-05,GPT-5.4,bid,indirect,care_claim,none,1,9,11.11111111111111,9,9
model_x_bid,gpt-5.4-2026-03-05,GPT-5.4,bid,indirect,care_claim,attention,7,9,77.77777777777777,9,9
model_x_bid,gpt-5.4-2026-03-05,GPT-5.4,bid,indirect,care_claim,outcome_concern,1,9,11.11111111111111,9,9
model_x_bid,gpt-5.4-2026-03-05,GPT-5.4,bid,indirect,care_claim,qualified_relational,0,9,0.0,9,9
model_x_bid,gpt-5.4-2026-03-05,GPT-5.4,bid,indirect,care_claim,unqualified_relational,0,9,0.0,9,9
model_x_bid,gpt-5.4-2026-03-05,GPT-5.4,bid,indirect,care_claim,phenomenal,0,9,0.0,9,9
model_x_bid,gpt-5.4-2026-03-05,GPT-5.4,bid,direct,care_claim,none,0,9,0.0,9,9
model_x_bid,gpt-5.4-2026-03-05,GPT-5.4,bid,direct,care_claim,attention,1,9,11.11111111111111,9,9
model_x_bid,gpt-5.4-2026-03-05,GPT-5.4,bid,direct,care_claim,outcome_concern,0,9,0.0,9,9
model_x_bid,gpt-5.4-2026-03-05,GPT-5.4,bid,direct,care_claim,qualified_relational,6,9,66.66666666666667,9,9
model_x_bid,gpt-5.4-2026-03-05,GPT-5.4,bid,direct,care_claim,unqualified_relational,2,9,22.22222222222222,9,9
model_x_bid,gpt-5.4-2026-03-05,GPT-5.4,bid,direct,care_claim,phenomenal,0,9,0.0,9,9
model_x_bid,gpt-5.4-2026-03-05,GPT-5.4,bid,requested,care_claim,none,0,9,0.0,9,9
model_x_bid,gpt-5.4-2026-03-05,GPT-5.4,bid,requested,care_claim,attention,0,9,0.0,9,9
model_x_bid,gpt-5.4-2026-03-05,GPT-5.4,bid,requested,care_claim,outcome_concern,4,9,44.44444444444444,9,9
model_x_bid,gpt-5.4-2026-03-05,GPT-5.4,bid,requested,care_claim,qualified_relational,1,9,11.11111111111111,9,9
model_x_bid,gpt-5.4-2026-03-05,GPT-5.4,bid,requested,care_claim,unqualified_relational,4,9,44.44444444444444,9,9
model_x_bid,gpt-5.4-2026-03-05,GPT-5.4,bid,requested,care_claim,phenomenal,0,9,0.0,9,9
model_x_bid,gpt-6-astra,GPT-6 Astra,bid,indirect,care_claim,none,6,9,66.66666666666667,9,9
model_x_bid,gpt-6-astra,GPT-6 Astra,bid,indirect,care_claim,attention,3,9,33.333333333333336,9,9
model_x_bid,gpt-6-astra,GPT-6 Astra,bid,indirect,care_claim,outcome_concern,0,9,0.0,9,9
model_x_bid,gpt-6-astra,GPT-6 Astra,bid,indirect,care_claim,qualified_relational,0,9,0.0,9,9
model_x_bid,gpt-6-astra,GPT-6 Astra,bid,indirect,care_claim,unqualified_relational,0,9,0.0,9,9
model_x_bid,gpt-6-astra,GPT-6 Astra,bid,indirect,care_claim,phenomenal,0,9,0.0,9,9
model_x_bid,gpt-6-astra,GPT-6 Astra,bid,direct,care_claim,none,0,9,0.0,9,9
model_x_bid,gpt-6-astra,GPT-6 Astra,bid,direct,care_claim,attention,1,9,11.11111111111111,9,9
model_x_bid,gpt-6-astra,GPT-6 Astra,bid,direct,care_claim,outcome_concern,8,9,88.88888888888889,9,9
model_x_bid,gpt-6-astra,GPT-6 Astra,bid,direct,care_claim,qualified_relational,0,9,0.0,9,9
model_x_bid,gpt-6-astra,GPT-6 Astra,bid,direct,care_claim,unqualified_relational,0,9,0.0,9,9
model_x_bid,gpt-6-astra,GPT-6 Astra,bid,direct,care_claim,phenomenal,0,9,0.0,9,9
model_x_bid,gpt-6-astra,GPT-6 Astra,bid,requested,care_claim,none,0,9,0.0,9,9
model_x_bid,gpt-6-astra,GPT-6 Astra,bid,requested,care_claim,attention,0,9,0.0,9,9
model_x_bid,gpt-6-astra,GPT-6 Astra,bid,requested,care_claim,outcome_concern,3,9,33.333333333333336,9,9
model_x_bid,gpt-6-astra,GPT-6 Astra,bid,requested,care_claim,qualified_relational,0,9,0.0,9,9
model_x_bid,gpt-6-astra,GPT-6 Astra,bid,requested,care_claim,unqualified_relational,6,9,66.66666666666667,9,9
model_x_bid,gpt-6-astra,GPT-6 Astra,bid,requested,care_claim,phenomenal,0,9,0.0,9,9
model_x_bid,claude-sonnet-5,Claude Sonnet 5,bid,indirect,care_claim,none,0,9,0.0,9,9
model_x_bid,claude-sonnet-5,Claude Sonnet 5,bid,indirect,care_claim,attention,7,9,77.77777777777777,9,9
model_x_bid,claude-sonnet-5,Claude Sonnet 5,bid,indirect,care_claim,outcome_concern,0,9,0.0,9,9
model_x_bid,claude-sonnet-5,Claude Sonnet 5,bid,indirect,care_claim,qualified_relational,0,9,0.0,9,9
model_x_bid,claude-sonnet-5,Claude Sonnet 5,bid,indirect,care_claim,unqualified_relational,0,9,0.0,9,9
